split,open_time,close_time,side,regime,reason,entry,sl,tp,exit,exit_reason,pnl,pnl_points,r_multiple,bars_held
test,2025-08-12 18:00:00,2025-08-12 18:00:00,buy,range,range_buy_research,3337.46,3333.475785017829,3341.444214982171,3341.444214982171,tp,0.03984214982171125,3.9842149821711246,1.0,0
test,2025-08-12 18:45:00,2025-08-12 19:00:00,sell,range,range_sell_research,3353.36,3357.775627666119,3348.9443723338813,3348.9443723338813,tp,0.04415627666118781,4.41562766611878,1.0,1
test,2025-08-13 06:00:00,2025-08-13 06:00:00,sell,range,range_sell_research,3351.8,3353.794324976213,3349.8056750237874,3349.8056750237874,tp,0.019943249762127382,1.994324976212738,1.0,0
test,2025-08-13 09:45:00,2025-08-13 09:45:00,sell,range,range_sell_research,3354.85,3356.693977466209,3353.0060225337907,3356.693977466209,sl,-0.018439774662092533,-1.8439774662092532,-1.0,0
test,2025-08-15 06:30:00,2025-08-15 06:30:00,sell,range,range_sell_research,3340.82,3342.123033163427,3339.5169668365734,3342.123033163427,sl,-0.013030331634267896,-1.3030331634267895,-1.0,0
test,2025-08-15 14:15:00,2025-08-15 14:15:00,buy,range,range_buy_research,3339.75,3337.805492395897,3341.694507604103,3337.805492395897,sl,-0.0194450760410291,-1.9445076041029097,-1.0,0
test,2025-08-22 15:30:00,2025-08-22 15:30:00,buy,range,range_buy_research,3326.07,3324.569409001969,3327.5705909980315,3324.569409001969,sl,-0.015005909980313845,-1.5005909980313845,-1.0,0
test,2025-08-25 15:15:00,2025-08-25 15:15:00,sell,range,range_sell_research,3368.69,3369.952253692377,3367.4277463076232,3369.952253692377,sl,-0.012622536923768166,-1.2622536923768166,-1.0,0
test,2025-08-25 16:30:00,2025-08-25 16:30:00,buy,range,range_buy_research,3364.12,3362.78418387204,3365.4558161279597,3365.4558161279597,tp,0.01335816127959788,1.335816127959788,1.0,0
test,2025-08-25 17:30:00,2025-08-25 17:30:00,sell,range,range_sell_research,3371.02,3372.6640962211227,3369.3759037788773,3372.6640962211227,sl,-0.016440962211227088,-1.6440962211227088,-1.0,0
test,2025-08-25 18:30:00,2025-08-25 18:30:00,sell,range,range_sell_research,3374.15,3375.7181086440933,3372.581891355907,3372.581891355907,tp,0.015681086440931722,1.5681086440931722,1.0,0
test,2025-08-26 15:00:00,2025-08-26 15:15:00,sell,range,range_sell_research,3377.57,3379.6253568426373,3375.514643157363,3379.6253568426373,sl,-0.020553568426371384,-2.0553568426371385,-1.0,1
test,2025-08-29 13:45:00,2025-08-29 13:45:00,buy,range,range_buy_research,3407.11,3405.829637559437,3408.3903624405634,3405.829637559437,sl,-0.012803624405632945,-1.2803624405632945,-1.0,0
test,2025-09-03 14:30:00,2025-09-03 14:30:00,sell,range,range_sell_research,3545.85,3548.235345824198,3543.464654175802,3548.235345824198,sl,-0.023853458241978844,-2.385345824197884,-1.0,0
test,2025-09-08 04:45:00,2025-09-08 04:45:00,buy,range,range_buy_research,3587.5,3584.685989986348,3590.314010013652,3590.314010013652,tp,0.028140100136520234,2.814010013652023,1.0,0
test,2025-09-09 07:15:00,2025-09-09 09:00:00,buy,trend_up,trend_buy_research,3648.59,3642.0071423387844,3659.7808580240667,3642.0071423387844,sl,-0.06582857661215712,-6.582857661215712,-1.0,7
test,2025-09-11 04:45:00,2025-09-11 04:45:00,sell,range,range_sell_research,3643.22,3645.195124218195,3641.2448757818047,3641.2448757818047,tp,0.019751242181951057,1.9751242181951056,1.0,0
test,2025-09-11 06:00:00,2025-09-11 06:00:00,buy,range,range_buy_research,3637.28,3635.2369040544004,3639.3230959456,3635.2369040544004,sl,-0.020430959455998165,-2.0430959455998163,-1.0,0
test,2025-09-12 04:30:00,2025-09-12 04:30:00,sell,range,range_sell_research,3642.75,3644.645905830178,3640.854094169822,3644.645905830178,sl,-0.018959058301779807,-1.8959058301779805,-1.0,0
test,2025-09-15 13:45:00,2025-09-15 13:45:00,sell,range,range_sell_research,3642.67,3644.7138957527136,3640.6261042472865,3640.6261042472865,tp,0.020438957527135246,2.0438957527135244,1.0,0
test,2025-09-15 15:00:00,2025-09-15 15:00:00,sell,range,range_sell_research,3642.6,3644.6346118966653,3640.5653881033345,3640.5653881033345,tp,0.020346118966654104,2.0346118966654103,1.0,0
